_source_id,managed_objects,alarm_type,probable_cause,perceived_severity,state,created_at,updated_at,closed_at,additional_information
9xqym52x,vdu_cslg.vnfc_cslg5,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,CLEARED,2025-04-01T00:10:33.000Z,2025-04-01T00:10:42.000Z,2025-04-01T00:16:05.000Z,
kf7i8skc,vdu_cssips.vnfc_cssips6,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:10:35.000Z,,,
sg7fxzv4,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:10:38.000Z,2025-04-01T00:10:48.000Z,,
uwb6txki,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:10:47.000Z,,,
qmf5l9mo,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:10:53.000Z,,,
idknwi5f,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:10:58.000Z,,,
rla8s8hm,vdu_cslg.vnfc_cslg5,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:11:03.000Z,,,
dejnobbu,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:11:03.000Z,,,
3wvedn9u,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:11:08.000Z,,,
lrqvslwf,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:17:21.000Z,,,
zk3ny9v2,vdu_sbdia.vnfc_sbdia1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:17:30.000Z,,,
rsz1n3iu,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:17:30.000Z,2025-04-01T00:18:12.000Z,,
swq40zsu,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:17:31.000Z,2025-04-01T00:18:02.000Z,,
ty5y2jr8,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:17:38.000Z,,,
zlm72jey,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACKNOWLEDGED,2025-04-01T00:17:42.000Z,2025-04-01T00:18:31.000Z,,
zmpjrht7,vdu_mtlg.vnfc_mtlg4,QUALITY_OF_SERVICE_ALARM,THRESHOLD_CROSSING,MAJOR,ACTIVE,2025-04-01T00:17:48.000Z,,,
6iidlrye,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:17:52.000Z,,,
8lx6dut0,vdu_cssips.vnfc_cssips8,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:18:00.000Z,,,
42g05kbk,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:18:00.000Z,,,
qgefqjg0,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:18:09.000Z,2025-04-01T00:18:30.000Z,2025-04-01T00:27:48.000Z,
dygfliji,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:18:13.000Z,,,
iyqfy751,vdu_sbdia.vnfc_sbdia1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACKNOWLEDGED,2025-04-01T00:18:17.000Z,2025-04-01T00:19:06.000Z,,
f0votqtx,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:18:18.000Z,,,
n7e36htf,vdu_csdns.vnfc_csdns3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:18:21.000Z,,,
ceouuyla,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:18:29.000Z,2025-04-01T00:18:59.000Z,2025-04-01T00:49:23.000Z,
c97c7bo1,vdu_sbsipc.vnfc_sbsipc2,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:18:33.000Z,,,
5e4e9oe9,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:18:39.000Z,2025-04-01T00:19:26.000Z,,
iqfg51bx,vdu_sbdia.vnfc_sbdia1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:18:39.000Z,,,
vzb0oih5,vdu_mtsip.vnfc_mtsip3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:18:48.000Z,,,
3i59soju,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:18:48.000Z,2025-04-01T00:19:36.000Z,,
mxnszokg,vdu_sblg.tr_sbcCounterTotAudioMtSession_decrease_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:18:57.000Z,,,
8ueihx74,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,CLEARED,2025-04-01T00:19:05.000Z,2025-04-01T00:19:23.000Z,2025-04-01T00:57:58.000Z,
c2vyhh6k,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:19:06.000Z,2025-04-01T00:20:06.000Z,,
vh6t1ntm,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:19:06.000Z,2025-04-01T00:19:33.000Z,2025-04-01T00:36:09.000Z,
hlb50atv,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:19:10.000Z,,,
xyj38xrg,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,CLEARED,2025-04-01T00:19:16.000Z,2025-04-01T00:19:38.000Z,2025-04-01T00:53:51.000Z,
4c3baewc,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,INDETERMINATE,CLEARED,2025-04-01T00:19:21.000Z,2025-04-01T00:19:27.000Z,2025-04-01T00:55:37.000Z,
6xatoazt,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACKNOWLEDGED,2025-04-01T00:19:23.000Z,2025-04-01T00:20:07.000Z,,
fgs3jono,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:19:27.000Z,,,
1dntcagr,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:19:36.000Z,2025-04-01T00:20:01.000Z,2025-04-01T01:04:43.000Z,
6yuj7ykt,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,CLEARED,2025-04-01T00:19:42.000Z,2025-04-01T00:19:53.000Z,2025-04-01T00:35:53.000Z,
7kuu4ytn,vdu_csdip.vnfc_csdip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:19:42.000Z,2025-04-01T00:19:59.000Z,2025-04-01T01:08:51.000Z,
4m18o1bj,vdu_cslg.vnfc_cslg1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:19:44.000Z,,,
1kicjn2f,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:29:58.000Z,2025-04-01T00:30:08.000Z,,
1ddpusdd,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:30:04.000Z,,,
o20u9isy,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:30:12.000Z,,,
jk2n7zrw,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:30:14.000Z,,,
5pp3xvkv,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:30:21.000Z,2025-04-01T00:31:17.000Z,,
zruin3oe,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,INDETERMINATE,ACTIVE,2025-04-01T00:30:24.000Z,,,
h23c42yf,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACKNOWLEDGED,2025-04-01T00:30:33.000Z,2025-04-01T00:31:23.000Z,,
9ros7yt2,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:30:37.000Z,,,
xfwuxx8l,vdu_mtlg.tr_MMTelMobileTermSessionInviteTotal_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:30:42.000Z,,,
uuqo1vsm,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:30:48.000Z,,,
lqhrrpzl,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,CLEARED,2025-04-01T00:30:48.000Z,2025-04-01T00:31:04.000Z,2025-04-01T00:40:58.000Z,
70stlpq2,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACKNOWLEDGED,2025-04-01T00:30:52.000Z,2025-04-01T00:31:07.000Z,,
qpahkz2u,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACKNOWLEDGED,2025-04-01T00:30:54.000Z,2025-04-01T00:31:11.000Z,,
sxvwvm4w,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACKNOWLEDGED,2025-04-01T00:31:02.000Z,2025-04-01T00:31:38.000Z,,
enfnvupr,vdu_sblg.vnfc_sblg5,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:31:06.000Z,,,
flqbmae3,vdu_scsip.vnfc_scsip1,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:31:14.000Z,,,
b1kjtgq0,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,ACTIVE,2025-04-01T00:40:14.000Z,,,
9t11php0,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:40:21.000Z,,,
5e3h0y4v,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACTIVE,2025-04-01T00:40:24.000Z,,,
tvg9ku8s,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,CLEARED,2025-04-01T00:40:30.000Z,2025-04-01T00:40:46.000Z,2025-04-01T01:19:55.000Z,
5iz31yru,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,INDETERMINATE,CLEARED,2025-04-01T00:40:31.000Z,2025-04-01T00:40:58.000Z,2025-04-01T00:49:40.000Z,
sk7n8la1,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:40:35.000Z,2025-04-01T00:40:52.000Z,2025-04-01T00:47:26.000Z,
83rlkte4,vdu_scsip.vnfc_scsip3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,CLEARED,2025-04-01T00:40:36.000Z,2025-04-01T00:40:47.000Z,2025-04-01T01:08:15.000Z,
7fq9p965,vdu_sbdia.vnfc_sbdia3,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MINOR,CLEARED,2025-04-01T00:40:41.000Z,2025-04-01T00:40:49.000Z,2025-04-01T00:42:17.000Z,
6fokzixz,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACTIVE,2025-04-01T00:40:45.000Z,,,
ame4yrid,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,ACKNOWLEDGED,2025-04-01T00:40:45.000Z,2025-04-01T00:40:50.000Z,,
xycuvfmh,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,CLEARED,2025-04-01T00:40:46.000Z,2025-04-01T00:40:55.000Z,2025-04-01T01:32:40.000Z,
1vn8lfjd,vdu_sblg.vnfc_sblg4,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,ACTIVE,2025-04-01T00:40:48.000Z,,,
hvgox22i,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,WARNING,ACKNOWLEDGED,2025-04-01T00:40:56.000Z,2025-04-01T00:41:20.000Z,,
7e4uny18,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,CRITICAL,CLEARED,2025-04-01T00:41:02.000Z,2025-04-01T00:41:18.000Z,2025-04-01T00:42:21.000Z,
swsozctw,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,MAJOR,CLEARED,2025-04-01T00:41:03.000Z,2025-04-01T00:41:20.000Z,2025-04-01T01:35:25.000Z,
lv1xxlp8,vdu_cslg.tr_scscfOriginatingInviteToAs_increase_rate,COMMUNICATIONS_ALARM,LINK_TO_PEER_SIPGW_DOWN,INDETERMINATE,ACTIVE,2025-04-01T00:41:07.000Z,,,
